Year,Meet,Elevation
2016,2016 Mountain Dew Gator Cross Country Invitational,
2016,2016 Mountaineer/Cowboy Invite,
2016,2016 Myrle Hanson Memorial Open,
2016,2016 NCCAA Indoor National Championships,
2016,2016 NDNU Argo Invite,
2016,2016 NJCAA Division I National Championships,
2016,2016 NSIC Cross Country Championships,
2016,2016 Nebraska Tune-Up,
2016,2016 Nike Clyde Littlefield Texas Relays  Mar 30 -,
2016,2016 OSU High Performance Meet,
2016,2016 Oregon State John Frank Invitational,
2016,2016 Oxy Invitational (College/University),
2016,2016 Pomona-Pitzer Collegiate All Comers,
2016,2016 Pomona-Pitzer T&F Invite,
2016,2016 Queen City XC Invite,
2016,2016 RMAC Conference XC Championships,
2016,2016 RMAC Indoor Track and Field Championships,
2016,2016 RMAC Open Race,
2016,2016 RMAC Track & Field Championships,
2016,2016 Reggie Poyau Memorial Invitational,
2016,2016 Robert J. Kane Invitational Cornell,
2016,2016 Rust Buster,
2016,2016 SIAC Cross Country Championship,
2016,2016 Silfen Invitational,
2016,2016 Skechers Carl Kight Invitational,
2016,2016 Stanislaus Kim Duyst Invitational,
2016,2016 Stinger Open,
2016,2016 Triton Invitational,
2016,2016 U.S. Olympic Trials  Jun 30 -,
2016,2016 UCO Land Run,
2016,2016 UW Indoor Preview,
2016,2016 WWU Ralph Vernacchia Track & Field Meet,
2016,2016 Wendy's/PSU Invitational,
2016,2016 West Coast Invitational,
2016,2016 West Coast Last Chance,
2016,2016 Western Carolina University T&F Invitational,
2016,2016 Wheaton Don Church Twilight,
2016,2016 Willamette Invitational,
2016,2016 Yellow Jacket Spring Open,
2017,2016 Yellowjacket Holiday Open,
2017,2017 90th Clyde Littlefield Texas Relays  Mar 29 -,
2017,2017 Achilles Cup,
2017,2017 Aggie Last Chance,
2017,2017 Al Bortke Open & Multi,
2017,2017 Armory Track Invitational (Colleges),
2017,2017 BYU Autumn Classic  Dixie State vs Westminster (DII),
2018,2017 BYU December Invite,
2017,2017 Bellarmine Invitational,
2017,2017 Benedictine University NCAA Challenge,
2017,2017 Beynon Sports Surface Catamount Classic,
2018,2017 Blue and Gold Invitational,
2017,2017 Border Clash XC Meet,
2017,2017 Bowdoin Indoor Invitational #2,
2017,2017 Brissman-Lundeen Cross Country Invitational,
2017,2017 Bulldog Relays,
2017,2017 Bulldog Stampede,
2017,2017 CCAA Cross Country Championships,
2017,2017 CMU Invite,
2017,2017 CSU-Pueblo Open,
2017,2017 Codfish Bowl,
2017,2017 Collegeville Classic,
2017,2017 Colonial Relays  Mar 30 -,
2017,2017 Concordia Classic,
2017,2017 Concordia Indoor Invite,
2017,2017 Concordia University Chicago Cougar Invitational,
2017,2017 Conglomerate,
2017,2017 Cougar Open,
2017,2017 DSU Herb Blakely Invitational,
2017,2017 Dartmouth Indoor Classic,
2017,2017 Dartmouth Relays - College & Open,
2017,2017 Dave Little Alumi Mile,
2017,2017 Drake Relays presented by Hy-Vee,
2017,2017 ECC Indoor Track and Field Championships,
2017,2017 ECC Outdoor Track and Field Championships,
2017,2017 ESU Papa John's XC Invite,
2017,2017 Emilie Mondor,
2017,2017 Emporia State Relays,
2017,2017 Frank Colden Invitational,
2017,2017 Fred Hardy Invitational,
2017,2017 G-MAC Indoor T&F Championships,
2017,2017 GNAC Cross Country Championships,
2017,2017 GNAC Indoor Track and Field Championships,
2017,2017 GNAC Outdoor Track and Field Championship,
2017,2017 Gage McSpadden XC Invite,
2017,2017 Gladstein Invitational,
2017,2017 Great Dane Classic,
2017,2017 Greater Boston Track Club Invitational (GBTC),
2017,2017 Hagan Stone Classic,
2017,2017 Hokie Cross Country Invite,
2017,2017 Holiday Inn Invitational,
2017,2017 Hoosier Hills,
2017,2017 Husky Classic,
2017,2017 Husky Indoor Invitational,
2017,2017 Jayhawk Classic,
2017,2017 Jesse Owens University Classic,
2017,2017 Jim Duncan Invitational,
2017,2017 Jim DutcherJim Dutcher Memorial Classic,
2017,2017 KMS Invitational,
2017,2017 Ken Shannon Invitational,
2017,2017 Kentucky T&F Invitational,
2017,2017 Kip Janvrin Open,
2017,2017 Kutztown-Bloomsburg-ESU Tri Meet,
2017,2017 Larry Ellis Invitational,
2017,2017 Last Chance Meet,
2017,2017 Liberty Collegiate Invite,
2017,2017 Liberty Kick Off,
2017,2017 Liberty Twilight,
2017,2017 MCC Relay Invitational,
2017,2017 MIAA vs NSIC Showdown,
2017,2017 Mark T Young Invitational,
2017,2017 Maroon Classic & Multi,
2017,2017 Mets Indoor Conference Championships,
2017,2017 Meyo Invitational,
2017,2017 Millersville Metrics,
2017,2017 Mountaineer/Cowboy Invite,
2017,2017 Myrle Hanson Memorial Open,
2017,2017 NCCAA Indoor Track & Field Championship,
2017,2017 NCCAA National Championships,
2017,2017 NDNU Argonaut Invitational (PacWest Preview),
2017,2017 NJCAA Region IV Cross Country Meet,
2017,2017 NSIC Cross Country Championships,
2017,2017 NSIC Outdoor Track & Field Meet,
2017,2017 NSU Twilight Meet,
2017,2017 Nebraska Tune-Up,
2017,2017 OLLU Invitational,
2017,2017 Occidental Distance Carnival Spring Break Classic,
2017,2017 Oxy Invitational,
2017,2017 Peach Belt Conference Cross Country Championship,
2017,2017 Peach Belt Conference Track & Field Championship,
2017,2017 Penn State Behrend Open,
2017,2017 Pomona-Pitzer T&F Invite,
2017,2017 RMAC Cross Country Championships,
2017,2017 RMAC Outdoor Championships,
2017,2017 Ralph Vernacchia Track & Field Meet,
2017,2017 Reggie Poyau Memorial Invitational,
2017,2017 Region XI Championships,
2017,2017 Sam Howell Invitational,
2017,2017 Shootout,
2017,2017 Smith College XC Invitational,
2017,2017 South Plains College Cross Country Invite,
2017,2017 Stinger Open,
2017,2017 TLU Collegiate Invite,
2017,2017 Triton Invitational,
2017,2017 Trojan Challenge,
2017,2017 UNH Wildcat Invitational,
2017,2017 UNK Lopers Last Chance,
2017,2017 UNM Lobo Cross Country Invitational (College),
2017,2017 UT Track Classic,
2017,2017 UVU XC vs SUU & ISU,
2017,2017 UW Indoor Preview,
2017,2017 UW Invitational,
2017,2017 UW Open,
2017,2017 Virgina Tech Alumni Invitational,
2017,2017 W&L Carnival,
2017,2017 WCU Cross Country Festival,
2017,2017 WINTHROP/ADIDAS Cross Country Invitational,
2017,2017 WKU Hilltopper Relays,
2017,2017 Wendy's/PSU Invitational,
2017,2017 West Coast Last Chance Open,
2017,2017 Willamette Invitational,
2017,2017 William & Mary XC Invitational,
2017,2017 Winthrop ADIDAS Invitational,
2018,2017 Yale Season Opener,
2017,2017 Yale Springtime Invitational,
2017,2017 Yellow Jacket Spring Open,
2018,2017 Yellowjacket Holiday Open,
2018,2018 Alex Wilson Invitational,
2018,2018 American Southwest Conference Championships,
2018,2018 BYU Autumn Classic,
2019,2018 BYU December Invite,
2018,2018 Bearcat Open,
2018,2018 Beaver XC Classic,
2018,2018 Blue and Gold Invitational,
2018,2018 Brissman-Lundeen Cross Country Invitational,
2018,2018 Bronco Stampede,
2018,2018 Bronco Track and Field Classic,
2018,2018 Bulldog Stampede,
2018,2018 CCAA Championships,
2018,2018 Cardinal Classic,
2018,2018 Chadron State Invitational XC Meet,
2018,2018 Codfish Bowl,
2018,2018 Colonial Relays,
2018,2018 Concordia Classic,
2018,2018 Concordia Indoor Invite,
2018,2018 Cougar Invitational,
2018,2018 Cougar Open,
2018,2018 DBU Patriot / Orville Rogers XC Opener,
